month,forecastedFee
2024-01,116.1
2024-02,106.01
2024-03,108.08
2024-04,103.04
2024-05,110.08
2024-06,100.31
2024-07,106.27
2024-08,112.3
2024-09,91.27
2024-10,103.18
2024-11,103.84
2024-12,106.23
2025-01,111.03
2025-02,108.28
2025-03,111.03
2025-04,101.13
2025-05,109.72
2025-06,105.42
2025-07,108.33
2025-08,112.6
2025-09,94.51
2025-10,105.26
2025-11,101.14
2025-12,101.48
2026-01,109.85
2026-02,107.8
2026-03,109.2
2026-04,99.98
2026-05,110.06
2026-06,106.2
2026-07,107.67
2026-08,115.18
2026-09,99.24
2026-10,106.57
2026-11,100.53
2026-12,100.74
2027-01,109.14
2027-02,105.81
2027-03,108.21
2027-04,99.95
2027-05,108.32
2027-06,104.43
2027-07,106.58
2027-08,116.83
2027-09,101.97
2027-10,108.0
2027-11,102.22
2027-12,101.17
2028-01,108.46
2028-02,105.07
2028-03,108.85
2028-04,100.11
2028-05,106.18
2028-06,102.77
2028-07,104.78
2028-08,116.24
2028-09,103.11
2028-10,109.45
2028-11,104.01
2028-12,101.41
