month,lowGrownProduction,midGrownProduction,highGrownProduction
2024-01,14514558.99,3788522.48,4932810.03
2024-02,14492748.05,3376584.56,4387893.48
2024-03,13871099.98,3569196.35,4607834.51
2024-04,15476243.18,4475648.51,5503978.41
2024-05,15644282.42,4143283.32,5376134.53
2024-06,16312735.55,3179021.25,5232654.75
2024-07,15658081.59,3675560.59,4617006.04
2024-08,14836862.72,3880517.49,4838498.29
2024-09,15268769.79,4232720.18,5999567.94
2024-10,15335765.61,5066409.17,6757967.0
2024-11,16398342.73,5260409.51,6833001.08
2024-12,15505684.05,4225374.02,5916062.49
2025-01,15496186.76,3506866.49,4851244.64
2025-02,14863334.93,3446066.97,4329161.83
2025-03,15059941.01,3714828.63,4709163.93
2025-04,15900635.11,4324348.35,5466906.38
2025-05,15839973.43,3921022.35,5462760.03
2025-06,16134425.58,3697786.9,5213259.11
2025-07,14974501.39,3644304.96,4716362.1
2025-08,15233741.2,3575796.13,4740040.32
2025-09,15035189.62,4169072.3,5792640.26
2025-10,15651487.27,5219095.36,6601146.68
2025-11,16055712.84,5190582.3,6794792.59
2025-12,15607997.63,4107834.17,6099170.69
2026-01,15608476.56,3747071.53,4982048.74
2026-02,14837820.43,3451516.88,4418342.15
2026-03,15514576.99,3671052.08,4680726.91
2026-04,15419846.72,4064208.73,5376711.11
2026-05,15881438.77,4166717.97,5540952.14
2026-06,15734548.4,3920663.71,5272426.2
2026-07,15272373.01,3445071.94,4784419.84
2026-08,15417654.61,3503093.96,4681748.08
2026-09,15103387.52,4231791.16,5580472.99
2026-10,15837757.06,5200727.26,6452926.86
2026-11,15519809.55,4893807.86,6742440.19
2026-12,15741635.83,4375531.61,6232754.47
2027-01,15381729.21,3892468.55,5134268.32
2027-02,15228560.55,3361840.19,4499238.5
2027-03,15534793.14,3520441.63,4671381.42
2027-04,15393001.99,4084121.71,5289899.34
2027-05,15889452.09,4378894.0,5585022.98
2027-06,15371199.49,3815776.75,5348044.03
2027-07,15564824.53,3486028.52,4848785.3
2027-08,15271791.86,3524747.42,4659644.65
2027-09,15414430.17,4261982.74,5387856.65
2027-10,15661683.42,4887013.34,6292047.66
2027-11,15481250.5,4901419.39,6681587.53
2027-12,15737355.52,4667618.02,6325720.27
2028-01,15232801.14,3835900.36,5294612.12
2028-02,15545762.62,3299982.77,4583870.41
2028-03,15344343.91,3473859.6,4668756.36
2028-04,15590262.16,4225087.74,5214325.74
2028-05,15637261.84,4241234.2,5598824.34
2028-06,15428370.99,3875980.68,5428777.17
2028-07,15590010.48,3623567.93,4917391.13
2028-08,15237947.48,3545082.75,4660257.12
2028-09,15631196.82,4097722.81,5224355.39
2028-10,15419693.77,4670773.2,6120719.05
2028-11,15637007.74,5116024.11,6610641.45
2028-12,15518309.09,4666959.59,6387173.44
