month,lowGrownProduction
2024-01,14.51
2024-02,14.49
2024-03,13.87
2024-04,15.48
2024-05,15.64
2024-06,16.31
2024-07,15.66
2024-08,14.84
2024-09,15.27
2024-10,15.34
2024-11,16.4
2024-12,15.51
2025-01,15.5
2025-02,14.86
2025-03,15.06
2025-04,15.9
2025-05,15.84
2025-06,16.13
2025-07,14.97
2025-08,15.23
2025-09,15.04
2025-10,15.65
2025-11,16.06
2025-12,15.61
2026-01,15.61
2026-02,14.84
2026-03,15.51
2026-04,15.42
2026-05,15.88
2026-06,15.73
2026-07,15.27
2026-08,15.42
2026-09,15.1
2026-10,15.84
2026-11,15.52
2026-12,15.74
