month,lowGrownProduction,midGrownProduction,highGrownProduction
2024-01,14.51,3.79,4.93
2024-02,14.49,3.38,4.39
2024-03,13.87,3.57,4.61
2024-04,15.48,4.48,5.5
2024-05,15.64,4.14,5.38
2024-06,16.31,3.18,5.23
2024-07,15.66,3.68,4.62
2024-08,14.84,3.88,4.84
2024-09,15.27,4.23,6.0
2024-10,15.34,5.07,6.76
2024-11,16.4,5.26,6.83
2024-12,15.51,4.23,5.92
2025-01,15.5,3.51,4.85
2025-02,14.86,3.45,4.33
2025-03,15.06,3.71,4.71
2025-04,15.9,4.32,5.47
2025-05,15.84,3.92,5.46
2025-06,16.13,3.7,5.21
2025-07,14.97,3.64,4.72
2025-08,15.23,3.58,4.74
2025-09,15.04,4.17,5.79
2025-10,15.65,5.22,6.6
2025-11,16.06,5.19,6.79
2025-12,15.61,4.11,6.1
2026-01,15.61,3.75,4.98
2026-02,14.84,3.45,4.42
2026-03,15.51,3.67,4.68
2026-04,15.42,4.06,5.38
2026-05,15.88,4.17,5.54
2026-06,15.73,3.92,5.27
2026-07,15.27,3.45,4.78
2026-08,15.42,3.5,4.68
2026-09,15.1,4.23,5.58
2026-10,15.84,5.2,6.45
2026-11,15.52,4.89,6.74
2026-12,15.74,4.38,6.23
