month,nationalProduction
2024-01,24.03
2024-02,24.39
2024-03,22.16
2024-04,23.83
2024-05,23.43
2024-06,25.2
2024-07,25.2
2024-08,25.65
2024-09,25.99
2024-10,26.35
2024-11,27.38
2024-12,27.4
2025-01,26.33
2025-02,25.02
2025-03,22.79
2025-04,23.33
2025-05,22.67
2025-06,25.1
2025-07,24.97
2025-08,26.62
2025-09,26.06
2025-10,26.62
2025-11,26.71
2025-12,26.76
2026-01,26.49
2026-02,25.17
2026-03,23.81
2026-04,23.09
2026-05,22.68
2026-06,24.37
2026-07,24.74
2026-08,26.9
2026-09,26.26
2026-10,27.28
2026-11,26.23
2026-12,26.63
