Year-Month,Export_Quantity_(Kg),Export_Price_(Rs.),High_Grown_Quantity_(Kg),Medium_Grown_Quantity_(Kg),Low_Grown_Quantity_(Kg),Avg_Exchange_Rate,FEE_(USD)
2012-01,21824945,497.66,5361185.05,3652353.15,14348315.9,113.942069,95323897.66
2012-02,22448624,509.15,5538399.31,3955745.75,13133213,114.1020417,100171011.3
2012-03,27702254,536.71,6385525.09,4625138.9,17929328,114.1020417,74340383.72
2012-04,23290994,540.91,7323011,5748401.2,16982493.5,114.1020417,62991657.82
2012-05,30004885,567.32,8726319.7,5898297.1,18086627.25,114.1020417,85111856.79
2012-06,22804265,553.03,5963710.45,3842289.7,16737376,130.3009,96787072.64
2012-07,25761299,555.55,4064094.35,3429525.6,17506502,130.3009,71558448.3
2012-08,21064283,561.75,5372381.95,4358458,16139942,130.3009,59164304.88
2012-09,30620887,570.06,4906061.7,3517426.01,19011266.1,132.2338,132006664.3
2012-10,24246574,576.88,5860294.5,4052676.95,17499597,128.57875,108784411.2
2012-11,26691110,578.85,7434168.5,5325504.6,17875049,130.8749,118052804.8
2012-12,29741744,561.72,6707435.15,4227311.7,16871608.5,130.8749,83532662.2
2013-01,21545846,570.53,5516583.1,3454917.85,14769561.5,127.03815,96762677.34
2013-02,21258206,588.62,6146601.26,3948221.15,15087812,127.03815,62565026.08
2013-03,26208712,592.03,7802550.5,5582222.95,19361765.75,127.03815,77581718.83
2013-04,21259940,603.96,8683402.7,6316905.7,18865238,125.8576,102021279.3
2013-05,25927653,595.23,8283202.32,6074423.5,19296436.5,125.8576,77164584.48
2013-06,24250860,587.6,4645218.55,4123825.9,16102139.3,128.0652667,111269868.1
2013-07,29080647,583.6,3289154.9,3319741.75,16027189.54,131.5502,129011324.9
2013-08,30507102,587.02,5317181.76,4365973.95,16910903.26,132.0209225,135647279.8
2013-09,28032921,634.27,5862577,4007956.5,15319407.17,132.47786,134214432.5
2013-10,28189359,656.24,6247353.54,4837279.91,19472377.54,131.0848833,141122183.4
2013-11,26612935,680.11,7534441.13,5206138.86,17993244.53,131.0991929,138061286.5
2013-12,28270703,661.47,6448543.64,4889753.8,18916239.46,130.841305,142922924.2
2014-01,21213441,683.17,6385873,3737903,15392821,130.7561905,110835184.4
2014-02,21839202,664.55,5445202,3322063,13832658,130.8284529,110933373.9
2014-03,29829221,645.29,6286805,4093831,15379954,130.6212119,147361196.1
2014-04,22835096,643.25,7510259,4240054,17772459,130.6168395,112456215.9
2014-05,27414368,641.5,10004451,6613542,22625700,130.4449474,134817924.5
2014-06,29769048,640.85,8074759,4753911,18167455,130.2894125,146423980.6
2014-07,28899297,634.1,5758869,3885244,19359634,130.2330227,140709659.1
2014-08,26684609,651.44,4187078,2760640,16877253,130.1761095,133537726.3
2014-09,25991985,641.56,5613476,4021652,19451044,130.2421929,128033915.4
2014-10,26426700,632.75,6497528,4190602,17504652,130.6309275,128005631.9
2014-11,28109170,612.31,7274890,4492329,18209669,131.08135,131304154.9
2014-12,28873088,608.99,5835008,3093491,15378825,131.7300955,133480673.5
2015-01,23864105.67,602.79,4853340,3194718,15252077,132.5710947,108508150.2
2015-02,22900629.76,601.3,6293412,4398983,14920546,133.1429971,103423754.8
2015-03,24387468.77,587.57,6938414,4788305,18710443,133.2818929,107511566
2015-04,22428859.66,583.05,8300502,5685615,17641071,133.4628605,97983413.31
2015-05,26886641.03,586.41,8216222,5339899,18875640,134.7326816,117021312
2015-06,27128866.72,576.59,7638658,4829657,17111042,134.1828905,116573977.6
2015-07,27989639.43,578.45,5100175,3827270,17387424,133.6664286,121126950.9
2015-08,20683618.49,571.09,4743767,3551565,18131177,134.0428167,88122646.01
2015-09,23925912.58,590.16,5857291,4043581,17312479,138.8706643,101678181.2
2015-10,28285807.62,567.77,6160253,4304333,16404965,140.8174643,114047167.9
2015-11,25752021.37,573.38,5917264,3736684,15684341,141.9926105,103989172.1
2015-12,24672909.6,582.59,5406987,3265227,14947739,143.4063762,100233970
2016-01,23478578.08,583.26,5525842,3650049,16043946,143.980495,95110906.87
2016-02,22988086.2,591.93,5399367,3505810,14085593,144.1639342,94387947.57
2016-03,25907039.24,583.37,5259465,3553232,13395289,145.3331275,103991359.3
2016-04,21687809.15,596.06,6847524,4447144,16042604,144.9418611,89189109.5
2016-05,20776468.01,607.89,8320511,5147250,17355778,145.85061,86594133.12
2016-06,27934557.96,611.15,5037516,4026205,16611143,146.03125,116907888.5
2016-07,25070339.46,598.29,4527300,3283520,13702989,146.1245289,102647608.2
2016-08,24531146.61,619.57,4080530,3252603,15923187,145.4822318,104471606.7
2016-09,24692886.41,648.71,3971996,2974192,13005769,145.6592275,109972588.9
2016-10,22332734.17,680.79,3390811,2336707,12977917,147.0080286,103422256.9
2016-11,19739714.54,720.69,5921708,3885703,17904691,148.312469,95920558.56
2016-12,21734918.89,715.05,6142174,4447784,16589737,149.2612105,104123192.5
2017-01,19560847.46,746.59,4627708,2795115,14263667,150.0524643,97325513.28
2017-02,21820415.99,757.76,3993644,2714105,11905178,150.9063944,109568838.9
2017-03,24732717.81,774.54,6046666,4497762,16032936,151.7325152,126251642.4
2017-04,19411920.37,812.7,8385882,5299646,19259103,152.2029559,103651519.7
2017-05,23303261.63,821.03,7660280,4958316,17098402,152.4902675,125468183.7
2017-06,25072546.83,811.39,5144371,3941501,18154054,152.8788375,133070175.7
2017-07,25710190.66,816.07,4889831,3735752,17084912,153.5112738,136676054.9
2017-08,23758691.71,799.52,4177946,3401523,17281482,153.0600659,124105194.1
2017-09,24684203.92,810.47,4822555,3601988,17311333,152.7791263,130945942.9
2017-10,24640862.42,811.18,4973080,3683394,17062971,153.4148875,130288364.5
