Year,Elevation,Quantity (Kg),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,2022-2
2011-01,High,4964739.1,,,,,,,,,,,,,,,
2011-01,Medium,2880223.1,,,,,,,,,,,,,,,
2011-01,Low,13295786.5,,,,,,,,,,,,,,,
2011-01,Total,21140748.7,,,,,,,,,,,,,,,
2011-02,High,5102812.75,,,,,,,,,,,,,,,
2011-02,Medium,2909750.33,,,,,,,,,,,,,,,
2011-02,Low,14112678.02,,,,,,,,,,,,,,,
2011-02,Total,22125241.1,,,,,,,,,,,,,,,
2011-03,High,8940510.95,,,,,,,,,,,,,,,
2011-03,Medium,6551728.9,,,,,,,,,,,,,,,
2011-03,Low,18542244.2,,,,,,,,,,,,,,,
2011-03,Total,34034484.05,,,,,,,,,,,,,,,
2011-04,High,8220468.05,,,,,,,,,,,,,,,
2011-04,Medium,4874784.0,,,,,,,,,,,,,,,
2011-04,Low,16876689.5,,,,,,,,,,,,,,,
2011-04,Total,29971941.55,,,,,,,,,,,,,,,
2011-05,High,9033669.7,,,,,,,,,,,,,,,
2011-05,Medium,6005293.9,,,,,,,,,,,,,,,
2011-05,Low,18607711.0,,,,,,,,,,,,,,,
2011-05,Total,33646674.6,,,,,,,,,,,,,,,
2011-06,High,8041271.55,,,,,,,,,,,,,,,
2011-06,Medium,4938661.0,,,,,,,,,,,,,,,
2011-06,Low,16765756.0,,,,,,,,,,,,,,,
2011-06,Total,29745688.55,,,,,,,,,,,,,,,
2011-07,High,5921674.45,,,,,,,,,,,,,,,
2011-07,Medium,3978810.8,,,,,,,,,,,,,,,
2011-07,Low,15265728.86,,,,,,,,,,,,,,,
2011-07,Total,25166214.11,,,,,,,,,,,,,,,
2011-08,High,4552247.85,,,,,,,,,,,,,,,
2011-08,Medium,3390775.2,,,,,,,,,,,,,,,
2011-08,Low,17418579.7,,,,,,,,,,,,,,,
2011-08,Total,25361602.75,,,,,,,,,,,,,,,
2011-09,High,4243215.75,,,,,,,,,,,,,,,
2011-09,Medium,3245540.8,,,,,,,,,,,,,,,
2011-09,Low,16474973.5,,,,,,,,,,,,,,,
2011-09,Total,23963730.05,,,,,,,,,,,,,,,
2011-10,High,5093817.4,,,,,,,,,,,,,,,
2011-10,Medium,4261603.9,,,,,,,,,,,,,,,
2011-10,Low,15488329.5,,,,,,,,,,,,,,,
2011-10,Total,24843750.8,,,,,,,,,,,,,,,
2011-11,High,8395162.55,,,,,,,,,,,,,,,
2011-11,Medium,5609791.5,,,,,,,,,,,,,,,
2011-11,Low,17817130.5,,,,,,,,,,,,,,,
2011-11,Total,31822084.55,,,,,,,,,,,,,,,
2011-12,High,5710198.3,,,,,,,,,,,,,,,
2011-12,Medium,3943831.5,,,,,,,,,,,,,,,
2011-12,Low,16055712.5,,,,,,,,,,,,,,,
2011-12,Total,25709742.3,,,,,,,,,,,,,,,
2012-01,High,5361185.05,,,,,,,,,,,,,,,
2012-01,Medium,3652353.15,,,,,,,,,,,,,,,
2012-01,Low,14348315.9,,,,,,,,,,,,,,,
2012-01,Total,23361854.1,,,,,,,,,,,,,,,
2012-02,Total,22627358.06,,,,,,,,,,,,,,,
2012-02,Low,13133213.0,,,,,,,,,,,,,,,
2012-02,Medium,3955745.75,,,,,,,,,,,,,,,
2012-02,High,5538399.31,,,,,,,,,,,,,,,
2012-03,High,6385525.09,,,,,,,,,,,,,,,
2012-03,Medium,4625138.9,,,,,,,,,,,,,,,
2012-03,Low,17929328.0,,,,,,,,,,,,,,,
2012-03,Total,28939991.99,,,,,,,,,,,,,,,
2012-04,High,7323011.0,,,,,,,,,,,,,,,
2012-04,Medium,5748401.2,,,,,,,,,,,,,,,
2012-04,Low,16982493.5,,,,,,,,,,,,,,,
